Product_Name,Price,Category,Supplier,Location,Rating
Industrial Drill Machine,5200,Industrial Tools,Alpha Machinery,Mumbai,4.5
Hydraulic Jack,3500,Industrial Tools,PowerLift Equipments,Pune,4.2
Agriculture Sprayer,1800,Agriculture Tools,GreenFarm Industries,Delhi,4.0
Garden Hoe,700,Agriculture Tools,AgroPro Supplies,Chennai,4.1
Hand Cultivator,500,Gardening Tools,Urban Garden Co,Bangalore,4.3
Power Sprayer,3200,Agriculture Tools,Bharat Agro Machines,Hyderabad,4.4
Electric Water Pump,4500,Industrial Equipment,FlowTech Systems,Ahmedabad,4.6
Welding Machine,6200,Industrial Equipment,SteelCraft Industries,Kolkata,4.5
Air Compressor,7100,Industrial Equipment,AirFlow Tech,Surat,4.3
Solar Water Heater,9500,Energy Systems,SunPower Systems,Jaipur,4.7
Industrial Fan,2300,Industrial Equipment,CoolAir Systems,Indore,4.2
Packaging Machine,8800,Packaging Equipment,PackPro Industries,Noida,4.4
Plastic Granules,1200,Raw Materials,PolyChem Ltd,Vadodara,4.1
Rubber Conveyor Belt,5400,Industrial Parts,BeltTech Industries,Nagpur,4.3
LED Flood Light,1400,Electrical Equipment,Lumina Lighting,Chandigarh,4.2
Electric Motor,3800,Electrical Equipment,ElectroDrive Systems,Coimbatore,4.5
Water Storage Tank,2900,Industrial Storage,AquaSafe Tanks,Visakhapatnam,4.1
Steel Pipes,2100,Construction Materials,Metro Steel Works,Ludhiana,4.4
Aluminium Sheets,3300,Construction Materials,Alloy Industries,Rajkot,4.2
CNC Cutting Machine,25000,Industrial Machinery,Precision Tools Ltd,Bangalore,4.8
